epoch,train_classification_loss,validation_loss,worst_condition_balanced_accuracy
1,0.6748037506461143,0.635537326335907,0.9135000109672546
2,0.551841937983036,0.43716323375701904,0.9289999902248383
3,0.30338884699344637,0.18932321667671204,0.9379999935626984
4,0.12606621441543103,0.09211233258247375,0.9544999897480011
5,0.06960792725868523,0.06270786374807358,0.9560000002384186
6,0.049091262486204504,0.04991741478443146,0.960999995470047
7,0.03844056330379099,0.04253619536757469,0.9664999842643738
8,0.03214655274506658,0.038285549730062485,0.9665000140666962
9,0.027826517394557597,0.03484097123146057,0.9710000157356262
10,0.02445182713707909,0.03245546296238899,0.972000002861023
11,0.021938413783535362,0.03009537048637867,0.9769999980926514
12,0.019581193720083684,0.028936060145497322,0.9774999916553497
13,0.018427288251370192,0.027454223483800888,0.9825000166893005
14,0.01671261801337823,0.027066750451922417,0.9810000061988831
15,0.014703216379787772,0.0259637963026762,0.9825000166893005
16,0.013397680559707805,0.025641506537795067,0.9835000038146973
17,0.012596154124476016,0.025068076327443123,0.9839999973773956
18,0.012099994670925662,0.024976471439003944,0.9845000207424164
19,0.011015279894089326,0.024941397830843925,0.9820000231266022
20,0.010282362830918282,0.0244207251816988,0.9860000014305115
21,0.010171447584871202,0.02480532042682171,0.9839999973773956
22,0.008723125996580348,0.024167006835341454,0.9864999949932098
23,0.008628328285063616,0.024365564808249474,0.9854999780654907
24,0.007667875014198944,0.02457483299076557,0.9850000143051147
25,0.007682193989888765,0.02429680898785591,0.9859999716281891
26,0.007386744264513254,0.024764597415924072,0.9854999780654907
27,0.0068942861723480745,0.024087591096758842,0.9869999885559082
28,0.006367527502262965,0.024272238835692406,0.9864999949932098
29,0.005999362873472273,0.024372383952140808,0.9870000183582306
30,0.005381324525317178,0.024129221215844154,0.9874999821186066
31,0.0051055272404337305,0.024748245254158974,0.9864999949932098
32,0.004825643755518832,0.024618322029709816,0.9874999821186066
33,0.004546745296241716,0.024347633123397827,0.9874999821186066
34,0.004491134152631276,0.02449152246117592,0.9869999885559082
35,0.004149755482003093,0.024529874324798584,0.9869999885559082
36,0.0040951754544046705,0.024560928344726562,0.987500011920929
37,0.0038742833687458187,0.025082934647798538,0.9864999949932098
38,0.0036406365847564304,0.024996209889650345,0.9869999885559082
39,0.0035506723570579196,0.025228234007954597,0.9864999949932098
40,0.003478994873922784,0.024870576336979866,0.9884999990463257
