experiment,seed,best_epoch,epochs_run,validation_loss,worst_condition_balanced_accuracy,duration_seconds,device
linear_clean,42,100,100,0.1877017766237259,0.984499990940094,2.210466400021687,cuda
linear_robust,42,100,100,0.08534803241491318,0.9560000002384186,10.12012269999832,cuda
linear_robust,43,100,100,0.08508006483316422,0.9555000066757202,10.439564899774268,cuda
linear_robust,44,100,100,0.08537276834249496,0.9555000066757202,10.431010299827904,cuda
mlp_consistency,42,94,100,0.14501555263996124,0.9894999861717224,275.98602430010214,cuda
mlp_robust,42,30,40,0.024129221215844154,0.9874999821186066,4.632493200013414,cuda
mlp_robust,43,26,36,0.02383759431540966,0.987500011920929,4.494177599903196,cuda
mlp_robust,44,27,37,0.024385781958699226,0.9869999885559082,4.3004743999335915,cuda
