epoch,train_classification_loss,validation_loss,worst_condition_balanced_accuracy
1,0.6763415128290653,0.6587733626365662,0.8460000157356262
2,0.6393045442104339,0.6252552270889282,0.909500002861023
3,0.6052067123770714,0.5941809415817261,0.926499992609024
4,0.573645760524273,0.5653820037841797,0.9480000138282776
5,0.5443848794281483,0.5386164784431458,0.9469999969005585
6,0.5172583123624325,0.5137979984283447,0.9429999887943268
7,0.4921379741847515,0.4907592236995697,0.9375
8,0.46882696910202504,0.46934473514556885,0.9365000128746033
9,0.4472480825275183,0.4494953155517578,0.9345000088214874
10,0.4272300757974386,0.4309374988079071,0.9345000088214874
11,0.4086658829659224,0.4136699140071869,0.9350000023841858
12,0.3914293883621693,0.39757677912712097,0.9350000023841858
13,0.37533229005932806,0.38270696997642517,0.9309999942779541
14,0.3603756276011467,0.3686651289463043,0.9314999878406525
15,0.3464015206605196,0.35549408197402954,0.9319999814033508
16,0.3334015377819538,0.3432702422142029,0.9309999942779541
17,0.32119586793780325,0.3316991329193115,0.9314999878406525
18,0.3097843708515167,0.32090482115745544,0.9309999942779541
19,0.29907238099575045,0.31080377101898193,0.9305000007152557
20,0.28904272016584875,0.3012038469314575,0.9305000007152557
21,0.27958009599149225,0.29217323660850525,0.9305000007152557
22,0.2706911208152771,0.28360459208488464,0.9314999878406525
23,0.2623113569781184,0.27564653754234314,0.9314999878406525
24,0.2543878549963236,0.267913281917572,0.9320000112056732
25,0.24690099681317806,0.26067838072776794,0.9320000112056732
26,0.2398236198797822,0.253768652677536,0.93299999833107
27,0.23311880204230548,0.24727173149585724,0.93299999833107
28,0.22676066793948413,0.24103964865207672,0.9335000216960907
29,0.22070905298888682,0.23512177169322968,0.9340000152587891
30,0.2149631494179368,0.22952719032764435,0.9345000088214874
31,0.2094994196370244,0.22412802278995514,0.9345000088214874
32,0.20428084602802993,0.21903593838214874,0.9345000088214874
33,0.19932004300057887,0.21410346031188965,0.9345000088214874
34,0.19456690759658812,0.20943796634674072,0.9350000023841858
35,0.1900382113084197,0.2048911303281784,0.9365000128746033
36,0.18570131716132163,0.2007007598876953,0.9360000193119049
37,0.18154564383774996,0.19646960496902466,0.9370000064373016
38,0.17756962061673404,0.1924397200345993,0.9390000104904175
