epoch,train_classification_loss,validation_loss,worst_condition_balanced_accuracy
1,0.6745748565495014,0.635941743850708,0.7549999952316284
2,0.5515757071018219,0.4302741289138794,0.9155000150203705
3,0.2944720718562603,0.18209226429462433,0.9364999830722809
4,0.1227589482754469,0.08998033404350281,0.9555000066757202
5,0.0679046181935817,0.06253565847873688,0.9535000026226044
6,0.047953888205438853,0.050148509442806244,0.9594999849796295
7,0.037643799096159634,0.04235748574137688,0.9684999883174896
8,0.032090238242968916,0.037718068808317184,0.9740000069141388
9,0.02784348021000624,0.0345534011721611,0.9724999964237213
10,0.024724077624827624,0.03252028673887253,0.9724999964237213
11,0.021149113413970917,0.030351687222719193,0.9785000085830688
12,0.019536091442406176,0.02955402247607708,0.9780000150203705
13,0.018042036586720496,0.02798677422106266,0.9810000061988831
14,0.01642939284965396,0.027171453461050987,0.9820000231266022
15,0.015191307204123587,0.026555977761745453,0.9820000231266022
16,0.013727210702933371,0.02654714696109295,0.9810000061988831
17,0.01285259204460308,0.02593289501965046,0.9814999997615814
18,0.011640063327457756,0.02558961696922779,0.9819999933242798
19,0.010931047246837989,0.02514699660241604,0.9839999973773956
20,0.010573390240175649,0.02505047619342804,0.9849999845027924
21,0.009586819616355933,0.024623673409223557,0.9860000014305115
22,0.008930892802681775,0.02439728006720543,0.9864999949932098
23,0.008353734069666826,0.0248186606913805,0.9860000014305115
24,0.008082922206469811,0.024752268567681313,0.9864999949932098
25,0.007629084188118577,0.024746762588620186,0.9864999949932098
26,0.006936130386847071,0.02453725039958954,0.9874999821186066
27,0.006447193976014387,0.024385781958699226,0.9869999885559082
28,0.0059397714495891705,0.02448662370443344,0.9869999885559082
29,0.005893285716848913,0.024401750415563583,0.9869999885559082
30,0.005636048310273327,0.024691583588719368,0.9869999885559082
31,0.0048698939276626335,0.02484819106757641,0.9869999885559082
32,0.005134773287596181,0.024929076433181763,0.9874999821186066
33,0.00460393544069957,0.02492137812077999,0.9874999821186066
34,0.004444264450320042,0.02498050592839718,0.9869999885559082
35,0.004447616633726284,0.02541305497288704,0.987500011920929
36,0.004218431573349517,0.025212816894054413,0.9884999990463257
37,0.0036964998518873473,0.0254666730761528,0.9874999821186066
