epoch,train_classification_loss,validation_loss,worst_condition_balanced_accuracy
1,0.675234131014347,0.6369962096214294,0.9105000197887421
2,0.5569952625632286,0.44876113533973694,0.948500007390976
3,0.34191621712446213,0.2664657533168793,0.9704999923706055
4,0.23862130944728852,0.23170258104801178,0.9774999916553497
5,0.22157788621783256,0.21579882502555847,0.9810000061988831
6,0.20611512872129678,0.20758412778377533,0.9835000038146973
7,0.20111425230503083,0.20035481452941895,0.9849999845027924
8,0.19491999766230583,0.19560325145721436,0.9854999780654907
9,0.19142045044749975,0.19431887567043304,0.9854999780654907
10,0.19046388401687145,0.1923663169145584,0.9849999845027924
11,0.18666780772060157,0.18754179775714874,0.984499990940094
12,0.18361612680852413,0.18786601722240448,0.9860000014305115
13,0.18416872566491366,0.1842554211616516,0.9864999949932098
14,0.18204894738942384,0.18442639708518982,0.9855000078678131
15,0.17842232731580734,0.18111081421375275,0.9864999949932098
16,0.17934707580953838,0.17807021737098694,0.9864999949932098
17,0.17665509024560452,0.18035338819026947,0.987500011920929
18,0.17666799924075605,0.1773861050605774,0.9864999949932098
19,0.1731448118507862,0.17629028856754303,0.9864999949932098
20,0.17259102768599988,0.17546847462654114,0.987500011920929
21,0.16946423219293355,0.17139583826065063,0.9869999885559082
22,0.17195616761744023,0.17445795238018036,0.9870000183582306
23,0.17004351326078176,0.17279645800590515,0.9879999756813049
24,0.1689987477645278,0.16942261159420013,0.9869999885559082
25,0.16780956409424544,0.16990678012371063,0.9874999821186066
26,0.1660101792126894,0.16937610507011414,0.987500011920929
27,0.16738016652911902,0.17293596267700195,0.987500011920929
28,0.1661795921251178,0.16698317229747772,0.9864999949932098
29,0.16403140890598297,0.16863448917865753,0.987500011920929
30,0.1629780455455184,0.16435888409614563,0.9864999949932098
31,0.16329736929684877,0.16885791718959808,0.9884999990463257
32,0.1629365264698863,0.16709741950035095,0.9855000078678131
33,0.16139419493824245,0.165818452835083,0.9860000014305115
34,0.16189616051763295,0.1670617312192917,0.9855000078678131
35,0.16077288829386235,0.166437029838562,0.9864999949932098
36,0.16276110937446356,0.16433165967464447,0.9860000014305115
37,0.16060074581056832,0.16793502867221832,0.9860000014305115
38,0.16067725339084862,0.16218937933444977,0.9855000078678131
39,0.15769719825536013,0.16354523599147797,0.9869999885559082
40,0.15901167991012335,0.16475054621696472,0.9860000014305115
41,0.15802368860691784,0.16294270753860474,0.9880000054836273
42,0.157045937050879,0.15986743569374084,0.9869999885559082
43,0.15447140423059463,0.1621333211660385,0.9864999949932098
44,0.15920809610635042,0.16483727097511292,0.9864999949932098
45,0.15625527286827565,0.1585453301668167,0.9874999821186066
46,0.15557926058024169,0.1603509783744812,0.987500011920929
47,0.15368219722658397,0.15884624421596527,0.9869999885559082
48,0.155230034327507,0.1624850332736969,0.987500011920929
49,0.15473715187460185,0.15839897096157074,0.9869999885559082
50,0.15099931538552047,0.15407699346542358,0.9880000054836273
51,0.1528040282011032,0.15832531452178955,0.9880000054836273
52,0.15021662853956222,0.15785686671733856,0.9880000054836273
53,0.15157050411403178,0.1575733870267868,0.9884999990463257
54,0.15067580002993344,0.15633317828178406,0.9880000054836273
55,0.15122836901247502,0.15605194866657257,0.9884999990463257
56,0.15077607324570416,0.15769486129283905,0.9874999821186066
57,0.15047429793477057,0.15540368854999542,0.9869999885559082
58,0.14855902734696866,0.1532888412475586,0.9880000054836273
59,0.14806624513715505,0.15605998039245605,0.9884999990463257
60,0.14722086249440908,0.15489250421524048,0.9880000054836273
61,0.14890835888385773,0.15534520149230957,0.9880000054836273
62,0.14586731084436177,0.15278513729572296,0.9880000054836273
63,0.14822871033102275,0.15431331098079681,0.9884999990463257
64,0.147255813716352,0.1544499397277832,0.9879999756813049
65,0.14730301969647408,0.15035021305084229,0.988999992609024
66,0.14575775976777078,0.15318971872329712,0.9884999990463257
67,0.14501122078597545,0.1511756032705307,0.9884999990463257
68,0.1451536367997527,0.15260536968708038,0.9880000054836273
69,0.1442693120583892,0.1512235552072525,0.9890000224113464
70,0.14384545452445746,0.1504562795162201,0.988999992609024
71,0.14302543168365955,0.15024974942207336,0.9884999990463257
72,0.1441142488062382,0.15271830558776855,0.9894999861717224
73,0.1438098969846964,0.14948144555091858,0.988999992609024
74,0.1415029013335705,0.14936015009880066,0.9890000224113464
75,0.14158343844413757,0.15013185143470764,0.9894999861717224
76,0.14179454984962941,0.14889925718307495,0.9894999861717224
77,0.14110028821974993,0.14943468570709229,0.9894999861717224
78,0.141396043099463,0.14816240966320038,0.9895000159740448
79,0.13935179995298386,0.1460825651884079,0.9894999861717224
80,0.1399849479019642,0.14843536913394928,0.9894999861717224
81,0.1408764627918601,0.14876458048820496,0.9894999861717224
82,0.1408223721370101,0.14677493274211884,0.9899999797344208
83,0.14012843326181174,0.1476866453886032,0.9899999797344208
84,0.13860145318359138,0.14627158641815186,0.9894999861717224
85,0.1392712381362915,0.14702771604061127,0.9895000159740448
86,0.14013719170242547,0.14785124361515045,0.9894999861717224
87,0.14095548371821642,0.14919283986091614,0.9894999861717224
88,0.14029214863628148,0.14595642685890198,0.988999992609024
89,0.13826514825224875,0.1468895524740219,0.9899999797344208
90,0.13926593531966208,0.14526157081127167,0.9899999797344208
91,0.1382863090634346,0.14626933634281158,0.9894999861717224
92,0.13833830267339944,0.14582590758800507,0.9899999797344208
93,0.13807746700048446,0.14571936428546906,0.9899999797344208
94,0.13786071830689908,0.14501555263996124,0.9894999861717224
95,0.13787176134884357,0.14587467908859253,0.9894999861717224
96,0.1379388403609395,0.14581920206546783,0.9894999861717224
97,0.1380628220796585,0.14546339213848114,0.9894999861717224
98,0.1378660800486803,0.14509955048561096,0.9894999861717224
99,0.13778385753035546,0.14494147896766663,0.9894999861717224
100,0.13753106558918954,0.14545877277851105,0.9900000095367432
